anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,152,Rock'n'Roll-Beginners,Final,1,62,DF,1.57,2.3,0.682608695652174,"[12.5, 10.0, 11.25, 7.5, 11.25, 11.25]"
,152,Rock'n'Roll-Beginners,Final,1,62,CO,1.34,2.0,0.67,"[9.0, 8.0, 7.0, 6.0, 9.0, 10.0]"
,152,Rock'n'Roll-Beginners,Final,1,62,FM,1.1,2.0,0.55,"[7.5, 8.5, 7.5, 5.0, 6.5, 7.5]"
,152,Rock'n'Roll-Beginners,Final,1,62,FW,10.0,14.4,0.6944444444444444,"[-25.0, -5.0, -25.0, -35.0, -25.0, -35.0]"
,152,Rock'n'Roll-Beginners,Final,1,62,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, 0.0, 0.0, -2.0, 0.0]"
,152,Rock'n'Roll-Beginners,Final,1,62,bm,4.71,8.0,0.58875,"[0.0, -10.0, 0.0, 0.0, 0.0, -10.0]"
,152,Rock'n'Roll-Beginners,Final,2,3,DF,1.38,2.3,0.6,"[13.75, 12.5, 11.25, 13.75, 11.25, 15.0]"
,152,Rock'n'Roll-Beginners,Final,2,3,CO,0.94,2.0,0.47,"[11.0, 10.0, 9.0, 11.0, 11.0, 12.0]"
,152,Rock'n'Roll-Beginners,Final,2,3,FM,0.61,2.0,0.305,"[7.5, 9.0, 8.5, 7.5, 7.5, 8.5]"
,152,Rock'n'Roll-Beginners,Final,2,3,FW,6.07,14.4,0.4215277777777778,"[-15.0, -10.0, -25.0, -25.0, -25.0, -15.0]"
,152,Rock'n'Roll-Beginners,Final,2,3,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Beginners,Final,2,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Beginners,Final,3,55,DF,1.52,2.3,0.6608695652173914,"[8.75, 8.75, 7.5, 6.25, 11.25, 8.75]"
,152,Rock'n'Roll-Beginners,Final,3,55,CO,1.41,2.0,0.705,"[7.0, 5.0, 4.0, 5.0, 8.0, 7.0]"
,152,Rock'n'Roll-Beginners,Final,3,55,FM,1.65,2.0,0.825,"[5.0, 5.0, 2.5, 2.5, 6.5, 6.5]"
,152,Rock'n'Roll-Beginners,Final,3,55,FW,11.79,14.4,0.8187499999999999,"[-50.0, -35.0, -50.0, -75.0, -50.0, -50.0]"
,152,Rock'n'Roll-Beginners,Final,3,55,sm,0.94,2.3,0.40869565217391307,"[-4.0, -4.0, -2.0, -2.0, -2.0, -2.0]"
,152,Rock'n'Roll-Beginners,Final,3,55,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Beginners,Final,4,131,DF,1.33,2.3,0.5782608695652175,"[12.5, 10.0, 8.75, 11.25, 11.25, 12.5]"
,152,Rock'n'Roll-Beginners,Final,4,131,CO,1.37,2.0,0.685,"[9.0, 7.0, 6.0, 9.0, 9.0, 10.0]"
,152,Rock'n'Roll-Beginners,Final,4,131,FM,0.84,2.0,0.42,"[6.5, 7.5, 6.5, 5.0, 6.5, 7.5]"
,152,Rock'n'Roll-Beginners,Final,4,131,FW,7.64,14.4,0.5305555555555556,"[-35.0, -15.0, -35.0, -35.0, -35.0, -25.0]"
,152,Rock'n'Roll-Beginners,Final,4,131,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, -2.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Beginners,Final,4,131,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Beginners,Final,5,134,DF,2.04,2.3,0.8869565217391305,"[13.75, 13.75, 11.25, 8.75, 12.5, 15.0]"
,152,Rock'n'Roll-Beginners,Final,5,134,CO,1.89,2.0,0.945,"[11.0, 8.0, 9.0, 6.0, 11.0, 11.0]"
,152,Rock'n'Roll-Beginners,Final,5,134,FM,0.84,2.0,0.42,"[7.5, 9.0, 7.5, 6.5, 6.5, 7.5]"
,152,Rock'n'Roll-Beginners,Final,5,134,FW,8.04,14.4,0.5583333333333332,"[-25.0, -10.0, -15.0, -35.0, -25.0, -25.0]"
,152,Rock'n'Roll-Beginners,Final,5,134,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Beginners,Final,5,134,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,152,Rock'n'Roll-Juveniles,Final,1,182,DF,2.36,2.3,1.0260869565217392,"[12.5, 15.0, 8.75, 11.25, 15.0, 15.0]"
,152,Rock'n'Roll-Juveniles,Final,1,182,CO,1.89,2.0,0.945,"[12.0, 11.0, 7.0, 9.0, 12.0, 12.0]"
,152,Rock'n'Roll-Juveniles,Final,1,182,FM,1.3,2.0,0.65,"[7.5, 9.5, 7.5, 5.0, 7.5, 7.5]"
,152,Rock'n'Roll-Juveniles,Final,1,182,FW,9.43,14.4,0.6548611111111111,"[-25.0, -5.0, -15.0, -35.0, -15.0, -15.0]"
,152,Rock'n'Roll-Juveniles,Final,1,182,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juveniles,Final,1,182,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juveniles,Final,2,235,DF,1.02,2.3,0.44347826086956527,"[13.75, 16.25, 13.75, 15.0, 16.25, 15.0]"
,152,Rock'n'Roll-Juveniles,Final,2,235,CO,0.94,2.0,0.47,"[11.0, 11.0, 10.0, 11.0, 12.0, 13.0]"
,152,Rock'n'Roll-Juveniles,Final,2,235,FM,0.73,2.0,0.365,"[7.5, 10.0, 8.5, 8.5, 8.5, 8.5]"
,152,Rock'n'Roll-Juveniles,Final,2,235,FW,7.5,14.4,0.5208333333333334,"[-25.0, 0.0, -10.0, -15.0, -15.0, -10.0]"
,152,Rock'n'Roll-Juveniles,Final,2,235,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juveniles,Final,2,235,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juveniles,Final,3,57,DF,1.18,2.3,0.5130434782608696,"[11.25, 12.5, 8.75, 10.0, 11.25, 11.25]"
,152,Rock'n'Roll-Juveniles,Final,3,57,CO,1.37,2.0,0.685,"[10.0, 7.0, 7.0, 7.0, 10.0, 9.0]"
,152,Rock'n'Roll-Juveniles,Final,3,57,FM,1.55,2.0,0.775,"[6.5, 9.5, 7.5, 5.0, 6.5, 5.0]"
yes,152,Rock'n'Roll-Juveniles,Final,3,57,FW,16.83,14.4,1.16875,"[-35.0, -5.0, -15.0, -50.0, -25.0, -50.0]"
,152,Rock'n'Roll-Juveniles,Final,3,57,sm,0.75,2.3,0.32608695652173914,"[-2.0, -2.0, -2.0, 0.0, -2.0, -2.0]"
,152,Rock'n'Roll-Juveniles,Final,3,57,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juniors,Final,1,491,DF,0.47,2.3,0.20434782608695654,"[11.0, 12.0, 12.0, 11.0, 12.0, 12.0]"
